Group,Item,Condition,Sentence,SentenceBold,CriticalFiller,Question,QuestionSentence,TrueOrFalse,CorrectResponse
1,1,ironic,"Luke was talking about an investment with Alfred, his financial adviser.
Luke is interested in buying shares of a small company.
Alfred goes on to describe the pros and cons of such an investment.
Luke buys the stocks, but one month later their value drops by half.
At their next meeting, Luke talks it over with Alfred again and says:
“That's what I call a worthwhile investment.”
As they are talking, Luke's laptop displays new stock quotes.","Luke was talking about an investment with Alfred, his financial adviser.
Luke is interested in buying shares of a small company.
Alfred goes on to describe the pros and cons of such an investment.
Luke buys the stocks, but one month later their value drops by half.
At their next meeting, Luke talks it over with Alfred again and says:
<u> “That's what I call a worthwhile investment.” </u>
As they are talking, Luke's laptop displays new stock quotes.",critical,YES,"In your opinion, did Luke buy stocks?",TRUE,Y
1,2,literal,"Clara and Elizabeth are at the cinema deciding what film to see.
They see a cool movie poster near the snack bar.
They aren't familiar with it, but they decide to go see it.
The two friends buy tickets and popcorn.
The film turns out to be very exciting, so Clara says to Elisabeth:
“We went to see a wonderful film.”
After leaving the theater, they go get some ice cream.","Clara and Elizabeth are at the cinema deciding what film to see.
They see a cool movie poster near the snack bar.
They aren't familiar with it, but they decide to go see it.
The two friends buy tickets and popcorn.
The film turns out to be very exciting, so Clara says to Elisabeth:
<u> “We went to see a wonderful film.” </u>
After leaving the theater, they go get some ice cream.",critical,YES,"In your opinion, did Clara and Elisabeth get ice cream after the film?",TRUE,Y
1,3,ironic,"Sebastian offers to show his new co-worker Gus around town.
The city is big, so they decide to meet up early in the afternoon.
They also decide to start at the main square.
It rains, forcing them to spend the day at a café without seeing the city.
That evening, Sebastian says to Gus:
“We've carried out a fantastic tour.”
The two colleagues plan to meet again the next morning.","Sebastian offers to show his new co-worker Gus around town.
The city is big, so they decide to meet up early in the afternoon.
They also decide to start at the main square.
It rains, forcing them to spend the day at a café without seeing the city.
That evening, Sebastian says to Gus:
<u> “We've carried out a fantastic tour.” </u>
The two colleagues plan to meet again the next morning.",critical,YES,"In your opinion, are they in a small town?",FALSE,N
1,4,literal,"On his way out from a conference, Tom runs into his colleague Patrick.
Patrick asks Tom where the cafeteria is.
While not being sure, Tom suggests that they look for it together.
They find the cafeteria right away; it is just around the corner.
Patrick says:
“We found the cafeteria quickly.”
There are already a lot of people inside, and all the seats are taken.","On his way out from a conference, Tom runs into his colleague Patrick.
Patrick asks Tom where the cafeteria is.
While not being sure, Tom suggests that they look for it together.
They find the cafeteria right away; it is just around the corner.
Patrick says:
<u> “We found the cafeteria quickly.” </u>
There are already a lot of people inside, and all the seats are taken.",critical,YES,"In your opinion, is the cafeteria full of people?",TRUE,Y
1,5,ironic,"Mike and Tim go fishing together once a year at their favorite lake.
As usual, they talk while waiting for the fish to bite.
They talk mostly about their fishing adventures.
At the end of the day, neither of them has managed to catch a single fish.
As they are leaving, Mike says to Tim:
“This has been a very productive day.” 
Mike and Tim return home as the sun begins to set.","Mike and Tim go fishing together once a year at their favorite lake.
As usual, they talk while waiting for the fish to bite.
They talk mostly about their fishing adventures.
At the end of the day, neither of them has managed to catch a single fish.
As they are leaving, Mike says to Tim:
<u> “This has been a very productive day.” </u>
Mike and Tim return home as the sun begins to set.",critical,YES,"In your opinion, do Mike and Tim go fishing together once a week?",FALSE,N
1,6,literal,"Karen and John are playing chess in a park.
They have just started their game.
Each comes up with their own strategy.
After playing two hours, neither one is winning.
So John says to her:
“Clearly, we are at exactly the same level.”
Karen and John plan to play together again.","Karen and John are playing chess in a park.
They have just started their game.
Each comes up with their own strategy.
After playing two hours, neither one is winning.
So John says to her:
<u> “Clearly, we are at exactly the same level.” </u>
Karen and John plan to play together again.",critical,NO,,,
1,7,ironic,"Henry and Robert are two food critics who are evaluating a new restaurant.
They sit at a table together, waiting for service.
Meanwhile, they discuss their jobs.
The waiter takes a long time to arrive and messes up their orders.
When the waiter finally brings the bill, Henry says to Robert:
“We have to mention how good the service is.”
They part ways after exploring the neighborhood.","Henry and Robert are two food critics who are evaluating a new restaurant.
They sit at a table together, waiting for service.
Meanwhile, they discuss their jobs.
The waiter takes a long time to arrive and messes up their orders.
When the waiter finally brings the bill, Henry says to Robert:
<u> “We have to mention how good the service is.” </u>
They part ways after exploring the neighborhood.",critical,NO,,,
1,8,literal,"Helen and Josh are at an art auction.
Helen, an art lover, describes to Josh the value of the paintings presented.
Josh is very interested and listens to her carefully.
One painting turned out to be very popular, and the bidding went very high.
At this point, Josh says to Helen:
“The competition for this painting is intense.”
Before leaving, Helen manages to get some good deals.","Helen and Josh are at an art auction.
Helen, an art lover, describes to Josh the value of the paintings presented.
Josh is very interested and listens to her carefully.
One painting turned out to be very popular, and the bidding went very high.
At this point, Josh says to Helen:
<u> “The competition for this painting is intense.” </u>
Before leaving, Helen manages to get some good deals.",critical,NO,,,
1,9,ironic,"Paul and Katie are leaving for a trip to the countryside in an old car.
Their friends are waiting for them to arrive for dinner that evening.
During the trip, they discuss their upcoming evening with excitement.
After an hour's drive, the car breaks down.
Paul says to Katie:
“At this rate we're sure to get there on time.”
At that moment, their friends call them to find out where they are.","Paul and Katie are leaving for a trip to the countryside in an old car.
Their friends are waiting for them to arrive for dinner that evening.
During the trip, they discuss their upcoming evening with excitement.
After an hour's drive, the car breaks down.
Paul says to Katie:
<u> “At this rate we're sure to get there on time.” </u>
At that moment, their friends call them to find out where they are.",critical,NO,,,
1,10,literal,"George is doing the laundry with his roommate Louis.
Louis points out that they have some muddy shirts to wash.
They spend some time discussing the washing machine's program.
When they hang up the laundry, the shirts are no longer stained.
George says to Louis:
“This washing machine does an impeccable job.”
After hanging their laundry, they grab two beers from the fridge.","George is doing the laundry with his roommate Louis.
Louis points out that they have some muddy shirts to wash.
They spend some time discussing the washing machine's program.
When they hang up the laundry, the shirts are no longer stained.
George says to Louis:
<u> “This washing machine does an impeccable job.” </u>
After hanging their laundry, they grab two beers from the fridge.",critical,NO,,,
